country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
United States,89.5,86.8,89.3,89.0,86.6,84.6,85.0,83.7,77.5,79.1,78.0
Denmark,88.1,81.8,83.3,82.6,80.0,80.3,80.9,81.0,76.6,76.5,77.8
Norway,88.0,86.5,84.4,83.8,81.0,81.4,82.2,82.9,76.2,76.0,80.5
France,86.8,83.7,83.4,83.8,82.5,82.3,82.9,80.4,76.5,79.1,80.2
Netherlands,86.7,83.2,84.4,85.0,82.6,82.8,84.7,82.0,79.9,79.9,80.1
Austria,85.6,83.4,85.5,85.1,79.3,81.6,82.1,81.7,79.4,81.3,78.1
Switzerland,83.7,83.2,84.2,84.4,80.9,81.6,83.5,83.1,77.7,80.4,78.2
Canada,83.4,82.1,83.7,84.2,81.9,82.2,83.2,82.4,77.2,79.8,79.1
Finland,83.1,81.4,79.9,79.9,78.9,81.0,83.3,82.9,85.3,80.9,83.7
Germany,83.0,81.7,83.7,83.9,82.5,82.5,82.7,81.5,77.0,78.7,77.0
New Zealand,82.7,82.0,82.2,82.8,81.1,81.0,81.3,78.8,77.0,76.8,77.8
Belgium,82.2,82.4,82.0,79.5,77.4,79.8,80.2,80.7,75.2,76.1,77.0
Spain,81.2,77.5,79.8,78.9,77.7,78.1,78.0,75.5,73.4,73.6,75.7
Australia,81.1,80.1,81.9,83.8,82.6,83.3,83.7,81.4,71.3,71.6,75.4
Portugal,80.8,76.1,80.3,80.5,80.0,79.0,79.3,77.8,75.7,75.2,78.7
Japan,80.7,77.8,77.8,77.4,75.9,79.5,79.9,76.5,77.9,79.3,79.5
Sweden,80.2,80.8,82.4,82.9,81.3,81.7,82.2,82.7,78.1,77.9,79.1
Greece,79.7,70.7,74.3,73.5,71.5,71.9,71.6,73.4,73.0,73.3,72.2
Italy,79.1,74.6,77.6,77.0,75.9,75.9,76.3,75.8,76.6,76.4,74.0
United Kingdom,79.0,77.3,81.6,81.6,81.9,84.2,85.0,79.1,78.5,81.0,78.8
South Korea,77.8,71.1,73.2,74.8,73.3,74.7,75.6,73.6,72.1,71.6,70.2
Israel,77.7,78.4,80.6,78.9,78.9,79.2,78.6,79.0,78.0,78.0,74.8
Czech Republic,73.5,72.2,74.6,74.9,73.9,75.8,76.1,73.1,78.6,77.8,77.7
Poland,72.3,69.9,72.7,74.2,72.4,74.1,75.4,75.6,73.5,74.9,75.5
Hungary,70.7,69.0,71.2,71.4,69.3,72.2,72.8,72.7,70.1,72.1,71.4
Chile,68.9,70.3,72.5,74.3,74.4,74.7,75.1,75.5,70.2,73.2,74.2
Slovakia,68.8,63.2,69.8,70.7,67.7,70.0,70.3,68.3,69.2,68.7,71.1
Saudi Arabia,68.7,65.7,69.6,72.8,71.1,71.0,72.4,73.5,69.5,68.1,69.9
Russia,68.3,60.9,62.7,63.8,62.3,66.2,67.0,69.7,73.7,74.8,69.1
Mexico,67.7,66.2,67.1,68.7,68.1,65.8,66.4,69.4,66.2,66.9,69.1
Brazil,67.6,67.0,68.1,67.4,67.6,67.7,68.4,70.1,64.1,60.6,65.1
Argentina,64.0,63.8,65.4,67.1,68.3,67.0,69.2,70.8,62.7,64.2,64.8
Malaysia,63.9,64.5,68.0,69.0,69.0,66.2,68.1,73.8,67.9,70.1,69.9
Uruguay,63.9,65.3,65.0,69.4,68.4,69.7,71.3,72.8,71.4,68.0,71.8
Costa Rica,63.8,63.7,65.8,66.9,68.3,69.3,69.3,70.1,72.3,73.6,77.4
Turkey,63.7,62.9,63.8,66.0,63.6,61.1,64.1,69.8,65.3,65.1,65.3
Serbia,63.2,56.8,61.6,61.5,59.4,60.6,59.8,62.8,63.2,61.4,61.4
Romania,62.5,65.0,61.3,63.3,65.5,67.7,68.9,70.2,74.2,72.4,68.8
China,62.5,60.2,62.2,64.2,65.5,63.7,65.1,71.0,69.3,71.3,74.2
South Africa,61.7,61.0,61.1,64.5,62.9,64.0,65.5,67.3,57.8,57.8,61.7
Venezuela,61.6,60.8,62.5,61.7,56.9,50.2,47.4,31.2,42.8,39.4,42.6
Panama,59.7,59.7,61.2,65.4,64.4,62.5,61.9,68.8,68.9,70.9,70.0
Belarus,58.5,58.8,60.8,63.5,63.1,63.0,65.7,70.9,73.8,70.9,64.5
Ukraine,58.4,58.0,56.4,56.1,55.2,54.1,55.7,57.1,63.0,62.0,57.9
Thailand,57.9,58.9,59.9,60.0,59.5,58.3,58.9,65.1,64.0,64.5,60.1
Bulgaria,57.6,55.9,59.6,61.0,60.6,62.9,64.5,66.2,67.4,70.5,73.0
Botswana,56.5,60.0,60.7,63.1,57.8,59.4,60.8,63.8,55.5,55.5,51.1
Peru,53.6,56.0,56.3,58.6,57.7,59.2,58.7,63.3,65.7,64.6,70.8
Paraguay,52.8,52.9,53.1,54.5,54.2,56.5,57.2,57.9,60.5,61.6,58.6
Tunisia,52.7,58.0,55.7,60.1,57.9,58.8,60.9,60.1,61.4,62.7,60.3
Colombia,52.3,54.5,58.0,59.6,61.0,60.1,63.7,69.4,63.1,64.4,60.1
Egypt,51.6,51.7,49.3,61.8,57.1,56.6,56.3,64.5,61.1,60.8,56.0
Kazakhstan,51.1,51.4,53.3,56.8,53.7,56.0,57.7,67.3,70.8,69.2,72.1
Jordan,50.6,52.3,53.0,58.5,56.9,58.3,57.0,61.0,60.4,64.6,66.2
Vietnam,50.4,48.6,49.1,53.4,57.1,54.0,56.0,64.6,60.3,61.1,67.9
El Salvador,50.3,47.5,48.8,53.3,53.3,53.1,53.7,60.7,59.0,59.5,64.2
Ecuador,50.0,51.6,54.2,56.0,57.5,55.2,54.8,61.8,57.9,59.6,65.6
Honduras,50.0,48.4,50.1,49.3,48.2,48.6,50.7,58.0,58.2,59.4,61.5
Morocco,49.3,49.4,50.1,53.9,55.5,52.8,55.0,62.8,62.0,62.5,63.0
Guatemala,48.2,45.2,46.9,49.7,49.6,49.6,51.4,60.6,56.2,53.5,62.8
Dominican Republic,48.1,51.9,54.5,56.8,55.1,54.8,57.2,64.2,65.2,65.4,65.0
Sri Lanka,47.4,48.6,51.7,53.7,54.8,53.0,54.3,60.8,54.8,54.1,55.2
Philippines,47.1,46.9,49.4,49.4,49.5,47.0,51.5,61.0,55.7,60.0,59.3
Indonesia,46.8,45.6,46.5,46.7,50.6,51.3,54.8,62.6,59.5,59.2,60.2
Bolivia,45.2,46.2,50.6,52.8,51.6,51.3,50.7,57.7,60.0,59.9,65.0
India,45.0,44.4,48.3,50.9,49.4,48.9,50.1,58.9,56.2,57.2,58.9
Azerbaijan,44.4,43.1,50.3,56.6,57.1,57.0,58.2,64.8,62.3,62.6,59.8
Ghana,43.1,45.4,43.1,46.1,47.8,47.9,50.9,62.8,53.0,52.0,52.6
Nicaragua,42.7,41.6,45.6,49.7,49.4,50.0,51.1,54.2,54.4,56.0,56.6
Syria,42.0,36.7,40.3,40.6,36.3,33.3,34.1,38.4,40.0,37.8,36.3
Uganda,41.9,38.3,45.6,42.8,44.2,43.3,41.4,46.2,42.9,43.9,47.7
Uzbekistan,40.8,40.9,46.0,53.6,49.8,47.0,45.9,59.0,50.9,53.8,57.0
Algeria,40.5,45.2,47.5,50.9,54.3,51.5,52.1,59.8,61.8,63.9,58.9
Cameroon,38.6,36.9,38.1,41.5,41.6,41.6,42.4,49.9,44.7,45.5,46.4
Pakistan,38.5,39.7,43.6,45.7,47.8,47.0,49.1,56.8,52.3,54.7,52.2
Cote d'Ivoire,38.0,39.5,44.7,46.0,42.3,42.5,45.8,52.3,51.0,48.0,46.5
Kenya,37.6,36.4,40.1,41.2,42.7,42.2,41.9,50.7,49.0,46.8,53.0
Myanmar,37.2,40.1,37.6,44.0,46.5,44.8,45.7,57.0,56.6,56.7,57.6
Nepal,35.2,33.8,37.7,40.5,42.9,44.5,46.0,56.4,53.0,53.7,56.9
Nigeria,34.8,33.0,36.5,37.1,39.4,38.4,38.0,48.4,40.1,41.3,42.0
Bangladesh,34.6,35.3,36.3,37.4,36.8,39.7,43.3,53.2,50.0,49.1,54.0
Benin,34.1,33.7,38.4,41.7,40.2,39.6,41.0,51.0,46.2,45.2,48.1
Yemen,33.3,29.6,35.2,37.3,34.0,28.8,28.5,35.6,35.7,35.7,40.1
Tajikistan,32.3,34.2,38.7,38.3,38.6,35.9,40.7,49.0,49.4,51.6,56.7
Guinea,31.3,32.0,32.5,33.9,35.0,34.0,34.9,46.7,39.5,43.0,45.1
Angola,30.5,31.8,34.4,35.1,33.7,33.2,38.6,45.5,42.1,41.1,43.7
Mali,30.4,26.8,33.4,38.5,39.3,39.4,42.0,54.4,52.7,54.5,51.9
Burkina Faso,30.2,29.9,31.6,33.6,31.0,33.1,37.9,50.1,47.4,48.1,49.6
Cambodia,30.0,31.3,33.1,34.6,39.8,43.3,42.3,49.4,51.5,53.0,55.7
Rwanda,29.8,29.3,34.2,35.1,40.7,39.8,38.4,48.2,38.8,40.3,50.6
Niger,29.2,30.1,30.5,33.6,29.0,29.5,33.7,49.6,47.6,47.6,46.3
Mozambique,29.2,29.6,31.0,32.6,29.4,33.7,35.0,41.4,40.6,35.9,47.0
Senegal,28.8,34.5,38.4,41.7,41.0,44.2,41.9,54.3,46.4,47.4,51.2
Sierra Leone,28.7,29.0,35.8,29.0,26.1,28.7,29.2,39.0,37.0,38.1,40.5
Zambia,28.5,28.1,32.6,32.9,33.3,32.4,33.7,44.4,36.6,38.0,43.5
Sudan,27.6,25.2,32.7,36.5,34.7,34.8,36.4,45.7,36.0,37.1,42.8
Togo,27.5,22.7,28.4,33.4,37.9,37.2,38.4,44.0,44.9,44.2,46.2
Malawi,27.3,28.3,33.9,35.3,31.4,31.3,32.4,42.5,36.7,37.3,48.1
Tanzania,26.8,29.4,29.9,33.7,36.9,35.4,37.1,47.6,47.1,48.0,49.1
